2 ﻿Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
28 bottom-rimmed glasses,Blue,No,1100,275,Blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy; work,AccessoryEye,Yes,For sale,AccessoryGlassLoose3,11083,LEbiXtkHoiEMEtjWK
30 bug wand,NA,NA,No,No,NA,Unlimited,1,NFS,1500,None,None,1x1,None,NA,Bug-Off,,1.0.0,ToolStcikInsect,NA,8769,vqp4KBeWgZjYbFj7Z
31 Anicotti's poster,1000,250,Green,Brown,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlMus10,10413,YFQoYdCCWf74rHXxX
33 Bunny Day wand,NA,NA,Yes,No,NA,Unlimited,1,NFS,11100,None,None,1x1,None,NA,Crafting,,1.1.0a,ToolStickEgg,NA,12578,26wk773sY75rKY2P4
32 bottom-rimmed glasses,Yellow,No,1100,275,Yellow,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Simple,everyday; comfy; work,AccessoryEye,Yes,For sale,AccessoryGlassLoose4,11084,w7bEbAGSQTvur6D6f
34 Ankha's poster,1000,250,Yellow,Brown,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlCat19,10416,YNxQgR8caq9EAvm8b
35 cherry-blossom wand,NA,NA,Yes,No,NA,Unlimited,1,NFS,2700,None,None,1x1,None,NA,Crafting,,1.0.0,ToolStickCherryblossom,NA,7589,WHHbg5ZqTMu4J2wm5
36 bottom-rimmed glasses,Pink,No,1100,275,Pink,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Simple,everyday; comfy; work,AccessoryEye,Yes,For sale,AccessoryGlassLoose5,11085,zpzD4NjApEyazKyKt
4 ﻿Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Primary Shape,Secondary Shape,Filename,Internal ID,Unique Entry ID
39 bottom-rimmed glasses,Black,No,1100,275,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy; work,AccessoryEye,Yes,For sale,AccessoryGlassLoose6,11086,eT6KLntq43nCGFvB9
41 browline glasses,Black,No,1040,260,Black,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Simple,everyday; formal,AccessoryEye,Yes,For sale,AccessoryGlassThurmont0,4238,gHxascFKEJNrLCtD9
42 browline glasses,Brown,No,1040,260,Brown,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Simple,everyday; formal,AccessoryEye,Yes,For sale,AccessoryGlassThurmont1,11069,9iqmzMJiAeQMBN3pk
43 browline glasses,Green,No,1040,260,Green,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; formal,AccessoryEye,Yes,For sale,AccessoryGlassThurmont2,11070,f6h8aqEufzizYBWiH
44 browline glasses,Gray,No,1040,260,Gray,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; formal,AccessoryEye,Yes,For sale,AccessoryGlassThurmont3,11071,R9rDoMEzPcBw75hLE
45 bubblegum,Pink,No,140,35,Pink,Pink,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryMouth,No,For sale,AccessoryMouthBubblegum0,5738,4SLmXuCkS4eBjPbLn
46 bubblegum,Blue,No,140,35,Light blue,Light blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryMouth,No,For sale,AccessoryMouthBubblegum1,11027,9wWYKTtMdo9pWqfsM
47 bubblegum,Yellow,No,140,35,Yellow,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,comfy,AccessoryMouth,No,For sale,AccessoryMouthBubblegum2,11028,79zoWzHvMBJYcwuAy
40 academy uniform,Navy blue,No,2080,520,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,Box,L,TopsTexOnepieceBoxLYosoiki0,2699,yfbZu5Nj6wtJSnuDW
48 bubblegum,Green,No,140,35,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryMouth,No,For sale,AccessoryMouthBubblegum3,11029,F3PoMop5MGyaxtKjZ
38 colorful fishing rod,Yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_0_0,0_0,8472,ZTf6fzMoETiRSgYyv
50 bubblegum,White,No,140,35,White,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,comfy,AccessoryMouth,No,For sale,AccessoryMouthBubblegum4,11030,r9N2a2TYhvXBKiihn
49 academy uniform,Gray,No,2080,520,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,Box,L,TopsTexOnepieceBoxLYosoiki1,9016,zbKRm5Cv5dyiz3y35
51 colorful fishing rod,Orange,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_1_0,1_0,8472,9RuY2ZBRztSNDRrfy
52 bunny nose,Pink,No,560,140,Pink,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthRabbit0,4600,bxWYgcp2YKCdKe8Cr
54 colorful fishing rod,Light blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_2_0,2_0,8472,8PASMoPi9YgSBQ2LK
55 bunny nose,Yellow,No,560,140,Yellow,Orange,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthRabbit1,11023,y6Dp62aNQn5ixvkwf
37 Annalisa's poster,1000,250,Beige,Pink,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlAnt08,10824,QLhdJiM4EPJBdZvZD
56 colorful fishing rod,Pink,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_3_0,3_0,8472,sfSivSgSps27Jaz5M
57 bunny nose,White,No,560,140,White,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthRabbit2,11024,ci8RKqDmqS5wD3W5k
59 colorful fishing rod,Green,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_4_0,4_0,8472,vnSiERDKYDcddtuv6
58 Annalise's poster,1000,250,Brown,Purple,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlHrs09,10573,KeP7vMfGPMihtEeRN
60 butterfly shades,Blue,No,1040,260,Black,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cool,outdoorsy,AccessoryEye,Yes,For sale,AccessoryGlassButterfly0,4608,WjbaLp9JbBGYRrb6K
61 colorful fishing rod,Purple,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_5_0,5_0,8472,avewXgm4JtCerDcd6
62 Antonio's poster,1000,250,Blue,Yellow,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlAnt01,10795,TeuSXPWPNyvqpWyF7
63 butterfly shades,Red,No,1040,260,Red,Brown,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cool,outdoorsy,AccessoryEye,Yes,For sale,AccessoryGlassButterfly1,11503,AZrrNvHghPTHobKL4
64 colorful fishing rod,White,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_6_0,6_0,8472,wmcSp5RZAczawLnJf
65 Apollo's poster,1000,250,Black,White,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlPbr00,10512,SiD2CXoom2ufiKaHY
67 colorful fishing rod,Gray,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolFishingrodDuck_Remake_7_0,7_0,8472,v76QddpoKv2M4XspK
66 butterfly shades,Brown,No,1040,260,Brown,Brown,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,outdoorsy,AccessoryEye,Yes,For sale,AccessoryGlassButterfly2,11504,rz3Pgs5XGNiQFa3t4
69 colorful net,Yellow & orange,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolNetPattern_Remake_0_0,0_0,8177,5wGjS9fxCaGhWK5Cv
70 candy-skull mask,Purple,No,NFS,800,White,Purple,1x1,NA,Gulliver,,All Year,No,1.0.0,Gorgeous,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,AccessoryGlassmouthCatrina0,5666,GT3LzQZKg29riohcP
71 colorful net,Red & yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolNetPattern_Remake_1_0,1_0,8177,k4Ssqq2DesuGTy6hy
72 candy-skull mask,Orange,No,NFS,800,White,Orange,1x1,NA,Gulliver,,All Year,No,1.0.0,Gorgeous,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,AccessoryGlassmouthCatrina1,11169,xyQdqFuAkXkNs9qQ5
73 colorful net,Orange & blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolNetPattern_Remake_2_0,2_0,8177,6pJhWYNiuyZKuKvYz
74 candy-skull mask,Blue,No,NFS,800,White,Light blue,1x1,NA,Gulliver,,All Year,No,1.0.0,Gorgeous,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,AccessoryGlassmouthCatrina2,11170,fev4af8sNdggceyW9
75 colorful net,Pink & yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolNetPattern_Remake_3_0,3_0,8177,AmK8KNTDWxdrJH6h7
77 colorful net,Green & blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolNetPattern_Remake_4_0,4_0,8177,zcdZjuNZWrHas5efC
53 academy uniform,Red,No,2080,520,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,Box,L,TopsTexOnepieceBoxLYosoiki2,9017,3FSAsaikyEjHkLWcM
78 colorful net,Purple & pink,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolNetPattern_Remake_5_0,5_0,8177,cTrR3cREJBqWZyfN6
76 cat nose,White,No,560,140,White,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthCat0,4483,45Muns9ig4dqrsFF7
79 adventure dress,Blue,No,2800,700,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale,Yes,For sale,Balloon,H,TopsTexOnepieceBalloonHStrangeBlue,3686,AQZFR4Bzob9Phsr9R
80 colorful net,White & blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolNetPattern_Remake_6_0,6_0,8177,wFcTeKJ9gM4yLgfTQ
81 cat nose,Brown,No,560,140,Brown,Beige,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthCat1,11021,CXDCEFzBdv8DwkCyM
83 colorful net,Gray & green,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolNetPattern_Remake_7_0,7_0,8177,kgBcZghywrT4j47vx
82 alpinist dress,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean0,3168,rN77JmGnpSNNeQogP
84 cat nose,Navy blue,No,560,140,Blue,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthCat2,11022,ywdWXRcwKJNMMxDyj
85 colorful shovel,Yellow,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolScoopColorful_Remake_0_0,0_0,8577,ojvEkqxvFKKrrB6GR
86 alpinist dress,Blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean1,8615,zkWYtfW3WeDbdSQuy
88 colorful shovel,Red,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolScoopColorful_Remake_1_0,1_0,8577,pnM6ygwcMS5KmSP6c
87 cucumber pack,Green,No,490,122,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,comfy,AccessoryMouth,No,For sale,AccessoryMouthCucumber,4491,MhbCBrYX5fHxZWDuA
90 colorful shovel,Blue,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolScoopColorful_Remake_2_0,2_0,8577,MYmh4oANQabcGNjJ6
89 alpinist dress,Red,No,2520,630,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,For sale,Balloon,H,TopsTexOnepieceBalloonHTyrolean2,8616,TkEkCuYTjTEu38axs
91 curly mustache,Black,No,700,175,Colorful,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,fairy tale; formal; party,AccessoryMouthEarJaw,No,For sale,AccessoryMouthRollingmustacheBlack,4672,9tyCrNPeibcu5NLo8
92 colorful shovel,Pink,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolScoopColorful_Remake_3_0,3_0,8577,c3Frxwsyo8PSKZNya
93 alpinist overalls,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean0,4443,vzaWMkA2s7R6SefHa
94 cyber shades,Red,No,1300,325,Red,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber0,4552,3YPuxxPLkzwwNQMQd
95 colorful shovel,Green,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,ToolScoopColorful_Remake_4_0,4_0,8577,RbQtnSAf4HNLKuao2
96 alpinist overalls,Blue,No,2520,630,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean1,8631,onM7CM229PHZyRjPd
97 cyber shades,Black,No,1300,325,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber1,11498,67BAc4y8aADafp9Xk
99 alpinist overalls,Red,No,2520,630,Red,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,Overall,H,TopsTexOnepieceOverallHTyrolean2,8632,WWbNFkaxwJMGLSBYj
100 cyber shades,Silver,No,1300,325,Gray,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber2,11499,AKakpCweRnd5hAsRB
101 ancient belted robe,Blue,No,3640,910,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen0,5518,W2KoH5jp8b43CHbsK
68 Apple's poster,1000,250,Red,Yellow,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlHam01,10565,fqWJTtNBSXH4JTa4W
103 ancient belted robe,Green,No,3640,910,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen1,9158,Ta6QSCmpE9nybMPxA
102 cyber shades,Purple,No,1300,325,Purple,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber3,11500,y2svNHScnr8cNZe86
104 Astrid's poster,1000,250,White,Black,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlKgr05,10493,ha3PS72Re4aZznfPB
105 ancient belted robe,Beige,No,3640,910,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen2,9159,DFxZQJWvqjzGxpEWw
107 Audie's poster,1000,250,Red,Yellow,1x1,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",1.0.0,For sale,PosterNpcNmlWol12,10859,ji4EcitFLpu8pxguu
108 ancient belted robe,White,No,3640,910,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen3,9160,Fcbj8smE8XoZJuH3h
106 cyber shades,Green,No,1300,325,Green,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party; theatrical,AccessoryEye,Yes,For sale,AccessoryGlassCyber4,11501,9izTCDGHSpqWrQp6T
110 ancient belted robe,Purple,No,3640,910,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,Kimono,L,TopsTexOnepieceKimonoLKanpukumen4,9161,2Pz2drQkcbzDF5dXX
